region_kamp,region_muk,region_wak,educ_0,educ_1,educ_2,educ_3,empl,urban,age,relig_catholic,relig_prot,relig_bornagain,relig_muslim,relig_anglican,relig_christian,relig_adventist
0,0,1,0,0,1,0,1,1,33,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,23,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,29,0,0,0,0,0,1,0
NA,NA,NA,0,1,0,0,0,NA,20,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,20,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1,1,21,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,22,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,23,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,23,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,23,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,25,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,26,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,29,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,1,26,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,22,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,1,0,1,24,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,1,0,0,0,29,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Yes,1,29,NA,NA,NA,NA,NA,NA,NA
0,0,1,0,0,0,1,0,1,23,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,1,0,0,22,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,23,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,24,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,1,25,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,1,25,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,1,25,0,1,0,0,0,0,0
